sample	notch60	hp_5Hz	ttm	lp35	thresh_2s_avg	thresh_2s_max	thresh	lock_count
2208	0.559816	0.084966	2.07007e-05	7.69697e-06	0.00249945	0.149294	0.149294	0
2221	0.560386	0.0843475	2.65663e-05	9.15454e-06	0.00249946	0.149294	0.149294	0
2276	0.561319	0.0838798	2.41373e-05	1.05958e-05	0.00249947	0.149294	0.149294	0
2340	0.561351	0.0823144	9.07521e-06	1.04509e-05	0.00249948	0.149294	0.149294	0
2380	0.560926	0.0801492	3.024e-08	9.6656e-06	0.00249949	0.149294	0.149294	0
2373	0.55999	0.0773624	1.19631e-05	9.50043e-06	0.0024995	0.149294	0.149294	0
2325	0.559587	0.0750459	3.68227e-05	1.16198e-05	0.00249951	0.149294	0.149294	0
2261	0.559649	0.0731362	7.82398e-05	1.65088e-05	0.00249953	0.149294	0.149294	0
2217	0.560416	0.0719033	0.00012541	2.51268e-05	0.00249955	0.149294	0.149294	0
2222	0.562647	0.0721123	0.00014231	3.497e-05	0.00249959	0.149294	0.149294	0
2277	0.565947	0.0733707	0.000134451	4.4486e-05	0.00249963	0.149294	0.149294	0
2352	0.56847	0.0738377	0.000110454	5.23384e-05	0.00249969	0.149294	0.149294	0
2417	0.571468	0.0747714	8.29623e-05	5.78426e-05	0.00249974	0.149294	0.149294	0
2432	0.572224	0.0735087	7.75402e-05	6.29032e-05	0.00249981	0.149294	0.149294	0
2402	0.573601	0.0729483	5.18533e-05	6.51284e-05	0.00249987	0.149294	0.149294	0
2340	0.574069	0.0715544	3.37335e-05	6.56403e-05	0.00249994	0.149294	0.149294	0
2282	0.574003	0.069729	2.82692e-05	6.59354e-05	0.0025	0.149294	0.149294	0
2265	0.574774	0.0688406	1.84528e-05	6.66053e-05	0.00250007	0.149294	0.149294	0
2294	0.574918	0.0674233	2.00702e-05	6.80367e-05	0.00250014	0.149294	0.149294	0
2363	0.576687	0.0676802	1.96428e-05	6.85852e-05	0.00250021	0.149294	0.149294	0
2432	0.578434	0.0679403	2.94889e-05	6.80614e-05	0.00250028	0.149294	0.149294	0
2471	0.580999	0.0689917	2.34838e-05	6.41503e-05	0.00250034	0.149294	0.149294	0
2463	0.583969	0.0704023	1.90891e-05	5.65559e-05	0.0025004	0.149294	0.149294	0
2419	0.587341	0.072135	1.88691e-06	4.65256e-05	0.00250044	0.149294	0.149294	0
2361	0.588887	0.071974	9.4914e-07	3.69898e-05	0.00250048	0.149294	0.149294	0
2334	0.591115	0.0724066	7.26291e-07	2.91521e-05	0.00250051	0.149294	0.149294	0
2359	0.594305	0.0737153	1.58906e-05	2.43612e-05	0.00250053	0.149294	0.149294	0
2411	0.594013	0.0715195	7.17667e-06	1.93353e-05	0.00250055	0.149294	0.149294	0
2483	0.595625	0.0711868	1.41639e-05	1.66432e-05	0.00250057	0.149294	0.149294	0
2526	0.59582	0.0694	2.95762e-06	1.44449e-05	0.00250058	0.149294	0.149294	0
2525	0.596561	0.0681406	4.01087e-08	1.24285e-05	0.0025006	0.149294	0.149294	0
